Date;Time;CO(GT);PT08.S1(CO);C6H6(GT);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH;DateTime;Hour
2004-03-10;18.00.00;0.3841749798949795;1.2503632642673557;0.2733670377968412;-0.3936818977765678;0.9192397492790639;0.030312617724465935;0.7063278430823265;0.6429380845214264;-0.5418796076925415;-0.020429144423775733;-0.6724853543696632;2004-03-10 18:00:00;18
2004-03-10;19.00.00;-0.08149627284139965;0.9260195082421455;-0.07916220727262147;-0.724869260201436;1.4049347680471085;-0.4467240773635676;0.3088487403350146;-0.12344207668836246;-0.5764733502231105;-0.0910081710885971;-0.7539458565517214;2004-03-10 19:00:00;19
2004-03-10;20.00.00;0.07372747807072684;1.450693231224103;-0.13556688648373555;-0.5776748769014945;1.2649887456902142;0.05302865082389611;0.29689448160577214;0.14064838426906479;-0.7379108153657665;0.2795317189017162;-0.691652531353677;2004-03-10 20:00:00;20
2004-03-10;21.00.00;0.07372747807072684;1.3266794421556403;-0.10736454687817862;-0.3621402442122947;1.0674178905981284;0.23475691561933745;0.38356285739278;0.4746451437152228;-0.8416920429574739;0.6324268522258243;-0.5995996418909797;2004-03-10 21:00:00;21
2004-03-10;22.00.00;-0.39194377466565233;0.8306242858817896;-0.4880961315531982;-0.5776748769014945;1.5325326119607474;0.09846071702275644;0.10263777725558207;0.23385678225403914;-0.8186295479370946;0.6089005100042171;-0.5943034482506602;2004-03-10 22:00:00;22
2004-03-10;23.00.00;-0.7023912764899052;0.4728922020304549;-0.7419171880032113;-0.7984664518514067;2.075852463463984;-0.35585994496584694;-0.18725299692854772;-0.18299188651209605;-0.8186295479370946;0.58537416778261;-0.6043914361369829;2004-03-10 23:00:00;23
2004-03-11;00.00.00;-0.7023912764899052;0.41565506861424134;-0.8970300558337749;-0.940403892890636;2.5903598985996243;-0.7874645738550201;-0.36656687786718467;-0.742242274421942;-0.8070983004269048;0.44421611445296644;-0.6661803619407115;2004-03-11 00:00:00;0
2004-03-11;01.00.00;-0.8576150274020314;0.18193677383136933;-0.9393335652421104;-0.940403892890636;2.553315363269858;-0.8101806069544504;-0.36656687786718467;-0.7500096409206899;-0.8762857854880431;0.6324268522258243;-0.6412125919220619;2004-03-11 01:00:00;1
2004-03-11;02.00.00;-0.9352269028580947;-0.018393193125378095;-1.0803452632698956;-1.0297719113227433;3.071938857886584;-1.173637136545333;-0.5369150647588898;-1.0348130792081114;-0.8762857854880431;0.614782095559619;-0.6548313755685979;2004-03-11 02:00:00;2
2004-03-11;03.00.00;-1.168062529226284;-0.41905312703887293;-1.1649522820865665;-0.9614316619334847;3.37446922974634;-1.2281556159839655;-0.659446216733625;-1.3429186169917766;-0.9224107755288019;0.644190023336628;-0.6878695358963057;2004-03-11 03:00:00;3
2004-03-11;04.00.00;-1.2611967797735602;-0.41428336592085513;-1.2213569612976805;-1.1559385255798358;3.37446922974634;-1.7642539971305173;-0.7730116746614285;-1.4879094583017367;-0.9454732705491814;0.6618347800028332;-0.7009839201485256;2004-03-11 04:00:00;4
